RBG,SLXid,index,sample_name,sex_mixed,mouse_F,mouse_M,mouse_F_sortedcells,mouse_M_sortedcells,expected_cells,cellranger_cellsfound,chemistry,tom,expdate,batch,sample_id,file
RBG33905,SLX19552,SIGAE3,Hoxb5_Tom_9mo_30jd_Tompos,yes,14686.30j,14686.30d,20000,20000,12600,14298,v3.1,pos,20200813,9mo,SLX19552_SIGAE3,./data/10x/9mo/SLX19552_SIGAE3_filtered_feature_bc_matrix.h5
RBG33906,SLX19552,SIGAF3,Hoxb5_Tom_9mo_30ah_Tompos,yes,14686.30h,14686.30a,20000,20000,12647,15369,v3.1,pos,20200813,9mo,SLX19552_SIGAF3,./data/10x/9mo/SLX19552_SIGAF3_filtered_feature_bc_matrix.h5
RBG33907,SLX19552,SIGAG3,Hoxb5_Tom_9mo_30jd_Tomneg,yes,14686.30j,14686.30d,20000,20000,12200,12061,v3.1,neg,20200813,9mo,SLX19552_SIGAG3,./data/10x/9mo/SLX19552_SIGAG3_filtered_feature_bc_matrix.h5
RBG34292,SLX-19739,SIGAF9,Hoxb5_Tom_5mo_56e_58g_Tomneg,yes,146818.58g,146812.56e,20000,20000,8438,15616,v3.1,neg,20200902,5mo,SLX-19739_SIGAF9,./data/10x/5mo/SLX-19739_SIGAF9_filtered_feature_bc_matrix.h5
RBG34293,SLX-19739,SIGAE9,Hoxb5_Tom_5mo_57a_58h_Tompos,yes,146818.58h,14686.57a,9683,667,5175,5546,v3.1,pos,20200902,5mo,SLX-19739_SIGAE9,./data/10x/5mo/SLX-19739_SIGAE9_filtered_feature_bc_matrix.h5
RBG34294,SLX-19739,SIGAD9,Hoxb5_Tom_5mo_56e_58g_Tompos,yes,146818.58g,146812.56e,3941,4575,4258,4412,v3.1,pos,20200902,5mo,SLX-19739_SIGAD9,./data/10x/5mo/SLX-19739_SIGAD9_filtered_feature_bc_matrix.h5
RBG35063,SLX-19800,SIGAA5,Hoxb5_Tom_7d_30e_32c_Tomneg,yes,14681.32c,14681.30e,20000,20000,11094,11770,v3.1,neg,20201020,7d,SLX-19800_SIGAA5,./data/10x/7d/SLX-19800_SIGAA5_filtered_feature_bc_matrix.h5
RBG35849,SLX-20391,SITTB4,Hoxb5_Tom_7d_51f_38h_Tompos,yes,14684.38h,14686.51f,650,5201,3511,2887,v3.1,pos,20201211,7dr2_7dold,SLX-20391_SITTB4,./data/10x/7dr2_7dold/SLX-20391_SITTB4_filtered_feature_bc_matrix.h5
RBG35850,SLX-20391,SITTA4,Hoxb5_Tom_7d_54f_56a_Tompos,yes,146817.54f,146812.56a,892,6500,4435,1312,v3.1,pos,20201211,7dr2_7dold,SLX-20391_SITTA4,./data/10x/7dr2_7dold/SLX-20391_SITTA4_filtered_feature_bc_matrix.h5
RBG35851,SLX-20391,SITTC4,Hoxb5_Tom_7d_54f_56a_Tomneg,yes,146817.54f,146812.56a,20000,20000,10707,18236,v3.1,neg,20201211,7dr2_7dold,SLX-20391_SITTC4,./data/10x/7dr2_7dold/SLX-20391_SITTC4_filtered_feature_bc_matrix.h5
RBG35934,SLX-20264,SITTB7,Hoxb5_Tom_3d7d_46e_47c_Tompos,yes,146814.46e,146813.47c,1384,735,1060,770,v3.1,pos,20210210,3d7d,SLX-20264_SITTB7,./data/10x/3d7d/SLX-20264_SITTB7_filtered_feature_bc_matrix.h5
RBG35935,SLX-20264,SITTC7,Hoxb5_Tom_3d7d_46e_46d_Tomneg,yes,146814.46e,146814.46d,20000,20000,10000,12275,v3.1,neg,20210210,3d7d,SLX-20264_SITTC7,./data/10x/3d7d/SLX-20264_SITTC7_filtered_feature_bc_matrix.h5
RBG36835,SLX-20428,SITTA4,Hoxb5_Tom_4w_61b_61h_Tomneg,yes,146819.61h,146819.61b,20000,20000,10000,11380,v3.1,neg,20210512,2w4w,SLX-20428_SITTA4,./data/10x/2w4w/SLX-20428_SITTA4_filtered_feature_bc_matrix.h5
RBG36836,SLX-20428,SITTB4,Hoxb5_Tom_2w_66d_66g_Tomneg,yes,146818.66g,146818.66d,20000,20000,10000,10114,v3.1,neg,20210512,2w4w,SLX-20428_SITTB4,./data/10x/2w4w/SLX-20428_SITTB4_filtered_feature_bc_matrix.h5
RBG36837,SLX-20428,SITTC4,Hoxb5_Tom_4w_61b_61f_Tompos,yes,146819.61f,146819.61b,3274,793,2034,1768,v3.1,pos,20210512,2w4w,SLX-20428_SITTC4,./data/10x/2w4w/SLX-20428_SITTC4_filtered_feature_bc_matrix.h5
RBG36838,SLX-20428,SITTD4,Hoxb5_Tom_4w_61c_61h_Tompos,yes,146819.61h,146819.61c,1450,4243,2847,2507,v3.1,pos,20210512,2w4w,SLX-20428_SITTD4,./data/10x/2w4w/SLX-20428_SITTD4_filtered_feature_bc_matrix.h5
RBG36839,SLX-20428,SITTE4,Hoxb5_Tom_2w_66d_66g_Tompos,yes,146818.66g,146818.66d,836,472,654,526,v3.1,pos,20210512,2w4w,SLX-20428_SITTE4,./data/10x/2w4w/SLX-20428_SITTE4_filtered_feature_bc_matrix.h5
RBG39144,SLX-20620,SITTB3,Hoxb5_Tom_11w_57b_57f_Tomneg,yes,146812.57f,146812.57b,20000,20000,10000,14850,v3.1,neg,20210608,7w11w,SLX-20620_SITTB3,./data/10x/7w11w/SLX-20620_SITTB3_filtered_feature_bc_matrix.h5
RBG39145,SLX-20620,SITTA3,Hoxb5_Tom_11w_57b_57f_Tompos,yes,146812.57f,146812.57b,9020,1726,5373,9186,v3.1,pos,20210608,7w11w,SLX-20620_SITTA3,./data/10x/7w11w/SLX-20620_SITTA3_filtered_feature_bc_matrix.h5
RBG39146,SLX-20620,SITTC3,Hoxb5_Tom_11w_60a_57e_Tompos,yes,146812.57e,146815.60a,6713,7101,6907,8338,v3.1,pos,20210608,7w11w,SLX-20620_SITTC3,./data/10x/7w11w/SLX-20620_SITTC3_filtered_feature_bc_matrix.h5
RBG39147,SLX-20620,SITTE3,Hoxb5_Tom_7w_63a_63f_Tomneg,yes,146817.63f,146817.63a,20000,20000,10000,12999,v3.1,neg,20210608,7w11w,SLX-20620_SITTE3,./data/10x/7w11w/SLX-20620_SITTE3_filtered_feature_bc_matrix.h5
RBG39148,SLX-20620,SITTD3,Hoxb5_Tom_7w_63a_63f_Tompos,yes,146817.63f,146817.63a,4622,1196,2909,3147,v3.1,pos,20210608,7w11w,SLX-20620_SITTD3,./data/10x/7w11w/SLX-20620_SITTD3_filtered_feature_bc_matrix.h5
RBG39149,SLX-20620,SITTF3,Hoxb5_Tom_7w_63b_63g_Tompos,yes,146817.63g,146817.63b,3851,1617,2734,2669,v3.1,pos,20210608,7w11w,SLX-20620_SITTF3,./data/10x/7w11w/SLX-20620_SITTF3_filtered_feature_bc_matrix.h5
RBG40091,SLX-20853,SITTF12,Hoxb5_Tom_16w_60b_60f_Tomneg,yes,146815.60f,146815.60b,20000,20000,10000,9801,v3.1,neg,20210714,16w,SLX-20853_SITTF12,./data/10x/16w/SLX-20853_SITTF12_filtered_feature_bc_matrix.h5
RBG40092,SLX-20853,SITTD12,Hoxb5_Tom_16w_60b_60f_Tompos,yes,146815.60f,146815.60b,20000,12506,10000,12066,v3.1,pos,20210714,16w,SLX-20853_SITTD12,./data/10x/16w/SLX-20853_SITTD12_filtered_feature_bc_matrix.h5
RBG40093,SLX-20853,SITTE12,Hoxb5_Tom_16w_60c_60h_Tompos,yes,146815.60h,146815.60c,20000,5701,10000,8752,v3.1,pos,20210714,16w,SLX-20853_SITTE12,./data/10x/16w/SLX-20853_SITTE12_filtered_feature_bc_matrix.h5
