biosample_id,RBG,SLXid,index,10xsample_description,sex_mixed,sex,mouse_id,sortedcells,expected_cells_10x,cellranger_cellsfound,chemistry,tom,expdate,batch,timepoint_tx_days,start_age,sample_id,countfile
9mo_SIGAE3_14686.30j,RBG33905,SLX19552,SIGAE3,Hoxb5_Tom_9mo_30jd_Tompos,yes,female,14686.30j,20000,12600,14298,v3.1,pos,20200813,9mo,269,young,9mo_SIGAE3,./data/10x/9mo/SLX19552_SIGAE3_filtered_feature_bc_matrix.h5
9mo_SIGAE3_14686.30d,RBG33905,SLX19552,SIGAE3,Hoxb5_Tom_9mo_30jd_Tompos,yes,male,14686.30d,20000,12600,14298,v3.1,pos,20200813,9mo,269,young,9mo_SIGAE3,./data/10x/9mo/SLX19552_SIGAE3_filtered_feature_bc_matrix.h5
9mo_SIGAF3_14686.30h,RBG33906,SLX19552,SIGAF3,Hoxb5_Tom_9mo_30ah_Tompos,yes,female,14686.30h,20000,12647,15369,v3.1,pos,20200813,9mo,269,young,9mo_SIGAF3,./data/10x/9mo/SLX19552_SIGAF3_filtered_feature_bc_matrix.h5
9mo_SIGAF3_14686.30a,RBG33906,SLX19552,SIGAF3,Hoxb5_Tom_9mo_30ah_Tompos,yes,male,14686.30a,20000,12647,15369,v3.1,pos,20200813,9mo,269,young,9mo_SIGAF3,./data/10x/9mo/SLX19552_SIGAF3_filtered_feature_bc_matrix.h5
9mo_SIGAG3_14686.30j,RBG33907,SLX19552,SIGAG3,Hoxb5_Tom_9mo_30jd_Tomneg,yes,female,14686.30j,20000,12200,12061,v3.1,neg,20200813,9mo,269,young,9mo_SIGAG3,./data/10x/9mo/SLX19552_SIGAG3_filtered_feature_bc_matrix.h5
9mo_SIGAG3_14686.30d,RBG33907,SLX19552,SIGAG3,Hoxb5_Tom_9mo_30jd_Tomneg,yes,male,14686.30d,20000,12200,12061,v3.1,neg,20200813,9mo,269,young,9mo_SIGAG3,./data/10x/9mo/SLX19552_SIGAG3_filtered_feature_bc_matrix.h5
5mo_SIGAF9_146818.58g,RBG34292,SLX19739,SIGAF9,Hoxb5_Tom_5mo_56e_58g_Tomneg,yes,female,146818.58g,20000,8438,15616,v3.1,neg,20200902,5mo,161,young,5mo_SIGAF9,./data/10x/5mo/SLX19739_SIGAF9_filtered_feature_bc_matrix.h5
5mo_SIGAF9_146812.56e,RBG34292,SLX19739,SIGAF9,Hoxb5_Tom_5mo_56e_58g_Tomneg,yes,male,146812.56e,20000,8438,15616,v3.1,neg,20200902,5mo,161,young,5mo_SIGAF9,./data/10x/5mo/SLX19739_SIGAF9_filtered_feature_bc_matrix.h5
5mo_SIGAE9_146818.58h,RBG34293,SLX19739,SIGAE9,Hoxb5_Tom_5mo_57a_58h_Tompos,yes,female,146818.58h,9683,5175,5546,v3.1,pos,20200902,5mo,161,young,5mo_SIGAE9,./data/10x/5mo/SLX19739_SIGAE9_filtered_feature_bc_matrix.h5
5mo_SIGAE9_14686.57a,RBG34293,SLX19739,SIGAE9,Hoxb5_Tom_5mo_57a_58h_Tompos,yes,male,14686.57a,667,5175,5546,v3.1,pos,20200902,5mo,161,young,5mo_SIGAE9,./data/10x/5mo/SLX19739_SIGAE9_filtered_feature_bc_matrix.h5
