Gene,Description
Itga2b,NoMo
Syk,NoMo
Slc22a3,NoMo
Serpinb1a,NoMo
Mki67,NoMo
Aspm,NoMo
Nkg7,NoMo
Aqp9,NoMo
Nasp,NoMo
Gata1,NoMo
Shcbp1,NoMo
Gja1,NoMo
Uhrf1,NoMo
Gp1bb,NoMo
Fam64a,NoMo
Gp5,NoMo
Asf1b,NoMo
Rasal3,NoMo
Pf4,NoMo
Cdk6,NoMo
Ckap2l,NoMo
Ckap2,NoMo
Spc24,NoMo
Muc13,NoMo
Ints2,NoMo
2810417H13Rik,NoMo
Yme1l1,NoMo
Mfsd2b,NoMo
Sh2d5,NoMo
RP23-81C12.1,NoMo
Arhgap5,NoMo
Vps18,NoMo
Cdca8,NoMo
Ncapg,NoMo
Tor1b,NoMo
Glipr1,NoMo
Pbk,NoMo
Nuf2,NoMo
Top2a,NoMo
Trip13,NoMo
Ndrg1,NoMo
Cacybp,NoMo
Arhgap27,NoMo
Kif2c,NoMo
Sgol1,NoMo
Rrm1,NoMo
Mdm1,NoMo
Ccna2,NoMo
Nek2,NoMo
Kif4,NoMo
Ska1,NoMo
Mis18bp1,NoMo
Spag5,NoMo
Spred1,NoMo
Cenpf,NoMo
Dlgap5,NoMo
Aqp1,NoMo
Sgpp1,NoMo
Sh2d3c,NoMo
Hmmr,NoMo
Cenpi,NoMo
Rasa2,NoMo
Ube2c,NoMo
Csgalnact1,NoMo
Dtnbp1,NoMo
Sdf2l1,NoMo
Birc5,NoMo
Pa2g4,NoMo
Gpd2,NoMo
Plk1,NoMo
Ccne2,NoMo
Hsp90aa1,NoMo
Rnf168,NoMo
Cenph,NoMo
Knstrn,NoMo
Procr,MolO
Pdzk1ip1,MolO
Ltb,MolO
Mllt3,MolO
Ifitm1,MolO
Gimap1,MolO
Gimap6,MolO
Limd2,MolO
Trim47,MolO
Neil2,MolO
Vwf,MolO
Pde1b,MolO
Neo1,MolO
Sqrdl,MolO
Sult1a1,MolO
Cd82,MolO
Ramp2,MolO
Ubl3,MolO
Ly6a,MolO
Cdkn1c,MolO
Fgfr3,MolO
Cldn10,MolO
Ptpn14,MolO
Mettl7a1,MolO
Smtnl1,MolO
Ctsf,MolO
Gstm1,MolO
Sox18,MolO
Fads3,MolO
