cellid,RBG,SLX,plate_sorted,plate_rearranged,well_sorted,well_rearranged,set_index,CI_index,index,mouse_platelabel,sort_method,sample.name,population,expdate,timepoint_tx_days,biosample_id,mouse_id,sex,start_age,tom,batch,countfolder,sample_id
SLX19435.i701_i502,RBG35462,SLX19435,plate1,plate1,A1,A1,setA,i701_i502,N701-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i503,RBG35463,SLX19435,plate1,plate1,B1,B1,setA,i701_i503,N701-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i505,RBG35464,SLX19435,plate1,plate1,C1,C1,setA,i701_i505,N701-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i506,RBG35465,SLX19435,plate1,plate1,D1,D1,setA,i701_i506,N701-S506,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i507,RBG35466,SLX19435,plate1,plate1,E1,E1,setA,i701_i507,N701-S507,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i508,RBG35467,SLX19435,plate1,plate1,F1,F1,setA,i701_i508,N701-S508,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i510,RBG35468,SLX19435,plate1,plate1,G1,G1,setA,i701_i510,N701-S510,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i701_i511,RBG35469,SLX19435,plate1,plate1,H1,H1,setA,i701_i511,N701-S511,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i502,RBG35470,SLX19435,plate1,plate1,A2,A2,setA,i702_i502,N702-S502,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i503,RBG35471,SLX19435,plate1,plate1,B2,B2,setA,i702_i503,N702-S503,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i505,RBG35472,SLX19435,plate1,plate1,C2,C2,setA,i702_i505,N702-S505,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i506,RBG35473,SLX19435,plate1,plate1,D2,D2,setA,i702_i506,N702-S506,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i507,RBG35474,SLX19435,plate1,plate1,E2,E2,setA,i702_i507,N702-S507,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i508,RBG35475,SLX19435,plate1,plate1,F2,F2,setA,i702_i508,N702-S508,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i510,RBG35476,SLX19435,plate1,plate1,G2,G2,setA,i702_i510,N702-S510,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i702_i511,RBG35477,SLX19435,plate1,plate1,H2,H2,setA,i702_i511,N702-S511,mouse2_30e,singlecell,mouse2_30e_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.30e,14681.30e,male,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i502,RBG35478,SLX19435,plate1,plate1,A3,A3,setA,i703_i502,N703-S502,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i503,RBG35479,SLX19435,plate1,plate1,B3,B3,setA,i703_i503,N703-S503,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
SLX19435.i703_i505,RBG35480,SLX19435,plate1,plate1,C3,C3,setA,i703_i505,N703-S505,mouse1_32c,singlecell,mouse1_32c_7d_Linneg_Kit+_OR_Sca1+_Tom+_singlecellmode,Linneg_Kit+_OR_Sca1+_Tom+,20201020,7,7d_SS2_14681.32c,14681.32c,female,young,pos,7d,./data/SS2/7d,7d_SS2
