"flow_biosample_id","batch","data_type","BM_fraction","mouse_id","sex","start_age","Tompos_sorted_cells","days_postTx","report_available","use_report","flow_sortdate","report_total_events","biosample_id","count","central__count","central_singlets__count","central_singlets_live__count","central_singlets_live_linneg__count","central_singlets_live_linneg_Lgate__count","central_singlets_live_linneg_Lgate_Tomneg__count","central_singlets_live_linneg_Lgate_Tompos__count","total_events","mancount_initial","mancount_final","central_singlets_live__estim_total","central_singlets_live_linneg__estim_total","central_singlets_live_linneg_Lgate__estim_total","central_singlets_live_linneg__freq_of_parent","central_singlets_live_linneg_Lgate_Tompos__estim_total","central_singlets_live_linneg_Lgate_Tompos__freq_of_parent"
"16w_aliq005_146815.60b","16w","notsorted","aliq005","146815.60b","M","young",NA,112,FALSE,FALSE,"14 07 2021",NA,NA,1500000,1260000,1180000,1080000,72264,22081,21492,445,1500000,2229333,1322250,1080000,72264,22081,0.0669111111111111,445,0.020153072777501
"16w_aliq005_146815.60c","16w","notsorted","aliq005","146815.60c","M","young",NA,112,FALSE,FALSE,"14 07 2021",NA,NA,902000,680000,635000,551000,54445,11681,11510,109,902000,2816000,698500,551000,54445,11681,0.0988112522686025,109,0.00933139286020032
"16w_aliq005_146815.60f","16w","notsorted","aliq005","146815.60f","F","young",NA,112,FALSE,FALSE,"14 07 2021",NA,NA,1100000,977000,916000,839000,51165,19424,18708,583,1100000,2757333,1290000,839000,51165,19424,0.0609833134684148,583,0.0300144151565074
"16w_aliq005_146815.60h","16w","notsorted","aliq005","146815.60h","F","young",NA,112,FALSE,FALSE,"14 07 2021",NA,NA,1680000,1490000,1390000,1270000,76247,24195,23124,873,1680000,3138667,1824000,1270000,76247,24195,0.0600370078740157,873,0.0360818350898946
"16w_lindep_146815.60b","16w","10x","lindep","146815.60b","M","young",12506,112,TRUE,TRUE,"14 07 2021",5346151,"16w_SITTD12_146815.60b",5340000,4350000,4130000,3650000,1950000,665000,648000,12453,5346151,NA,3937500,3654204.33520599,1952246.15168539,665765.995318352,0.534246575342466,12467.3442702247,0.0187263157894737
"16w_lindep_146815.60c","16w","10x","lindep","146815.60c","M","young",5701,112,TRUE,TRUE,"14 07 2021",4703158,"16w_SITTE12_146815.60c",4700000,3980000,3830000,3430000,2020000,693000,685000,5283,4703158,NA,4393750,3432304.66808511,2021357.26808511,693465.637021277,0.588921282798834,5286.54972638298,0.00762337662337662
"16w_lindep_146815.60f","16w","10x","lindep","146815.60f","F","young",20000,112,TRUE,TRUE,"14 07 2021",3832310,"16w_SITTD12_146815.60f",3960000,3360000,3190000,2810000,1670000,652000,629000,19191,3832310,NA,4560000,2719391.69191919,1616150.93434343,630976.292929293,0.594306049822064,18572.1871742424,0.0294340490797546
"16w_lindep_146815.60h","16w","10x","lindep","146815.60h","F","young",20000,112,TRUE,TRUE,"14 07 2021",5506408,"16w_SITTE12_146815.60h",5460000,4600000,4340000,3910000,1850000,575000,552000,19308,5506408,NA,4347500,3943233.56776557,1865724.32234432,579887.289377289,0.473145780051151,19472.1109274725,0.0335791304347826
"2w4w_aliq005_146818.66b","2w4w","notsorted","aliq005","146818.66b","M","young",NA,12,FALSE,FALSE,"05 12 2021",NA,NA,1550000,1060000,1040000,909000,325431,41107,40774,39,1550000,2332000,1677333,909000,325431,41107,0.358009900990099,39,0.000948743523000949
"2w4w_aliq005_146818.66d","2w4w","notsorted","aliq005","146818.66d","M","young",NA,12,FALSE,FALSE,"05 12 2021",NA,NA,1680000,1130000,1100000,1010000,305854,36135,35782,46,1680000,3300000,2080000,1010000,305854,36135,0.302825742574257,46,0.00127300401273004
