Gene stable ID,Gene stable ID version,Gene description,Gene name
ENSMUSG00000101796,ENSMUSG00000101796.1,predicted gene 29277 [Source:MGI Symbol;Acc:MGI:5579983],Gm29277
ENSMUSG00000101492,ENSMUSG00000101492.1,predicted gene 29089 [Source:MGI Symbol;Acc:MGI:5579795],Gm29089
ENSMUSG00000100968,ENSMUSG00000100968.1,predicted gene 2098 [Source:MGI Symbol;Acc:MGI:3780265],Gm2098
ENSMUSG00000053211,ENSMUSG00000053211.10,"zinc finger protein 1, Y-linked [Source:MGI Symbol;Acc:MGI:99212]",Zfy1
ENSMUSG00000069053,ENSMUSG00000069053.11,"ubiquitin-activating enzyme, Chr Y [Source:MGI Symbol;Acc:MGI:98891]",Uba1y
ENSMUSG00000101036,ENSMUSG00000101036.1,predicted gene 28588 [Source:MGI Symbol;Acc:MGI:5579294],Gm28588
ENSMUSG00000101107,ENSMUSG00000101107.1,predicted gene 28587 [Source:MGI Symbol;Acc:MGI:5579293],Gm28587
ENSMUSG00000101666,ENSMUSG00000101666.1,"ras homolog A translocated to the Y, pseudogene 3 [Source:MGI Symbol;Acc:MGI:1314637]",Rhoay-ps3
ENSMUSG00000056673,ENSMUSG00000056673.14,lysine (K)-specific demethylase 5D [Source:MGI Symbol;Acc:MGI:99780],Kdm5d
ENSMUSG00000075874,ENSMUSG00000075874.1,nuclear encoded rRNA 5S 1 [Source:MGI Symbol;Acc:MGI:4421733],n-R5s1
ENSMUSG00000106618,ENSMUSG00000106618.1,"predicted gene, 47281 [Source:MGI Symbol;Acc:MGI:6096127]",Gm47281
ENSMUSG00000069049,ENSMUSG00000069049.11,"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked [Source:MGI Symbol;Acc:MGI:1349430]",Eif2s3y
ENSMUSG00000099876,ENSMUSG00000099876.1,predicted gene 29650 [Source:MGI Symbol;Acc:MGI:5580356],Gm29650
ENSMUSG00000091749,ENSMUSG00000091749.7,"testis specific protein-Y encoded, pseudogene [Source:MGI Symbol;Acc:MGI:1201688]",Tspy-ps
ENSMUSG00000068457,ENSMUSG00000068457.14,"ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome [Source:MGI Symbol;Acc:MGI:894810]",Uty
ENSMUSG00000069045,ENSMUSG00000069045.11,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked [Source:MGI Symbol;Acc:MGI:1349406]",Ddx3y
ENSMUSG00000101059,ENSMUSG00000101059.1,predicted gene 4017 [Source:MGI Symbol;Acc:MGI:3782191],Gm4017
ENSMUSG00000099809,ENSMUSG00000099809.1,"predicted gene, 18665 [Source:MGI Symbol;Acc:MGI:5010850]",Gm18665
ENSMUSG00000069044,ENSMUSG00000069044.6,"ubiquitin specific peptidase 9, Y chromosome [Source:MGI Symbol;Acc:MGI:1313274]",Usp9y
ENSMUSG00000077793,ENSMUSG00000077793.1,"predicted gene, 25565 [Source:MGI Symbol;Acc:MGI:5455342]",Gm25565
ENSMUSG00000100842,ENSMUSG00000100842.1,"predicted gene, 17790 [Source:MGI Symbol;Acc:MGI:5009972]",Gm17790
ENSMUSG00000101947,ENSMUSG00000101947.1,predicted gene 29167 [Source:MGI Symbol;Acc:MGI:5579873],Gm29167
ENSMUSG00000100619,ENSMUSG00000100619.1,predicted gene 8446 [Source:MGI Symbol;Acc:MGI:3645802],Gm8446
ENSMUSG00000100877,ENSMUSG00000100877.1,predicted gene 28534 [Source:MGI Symbol;Acc:MGI:5579240],Gm28534
ENSMUSG00000100576,ENSMUSG00000100576.1,predicted gene 28975 [Source:MGI Symbol;Acc:MGI:5579681],Gm28975
ENSMUSG00000100326,ENSMUSG00000100326.1,predicted gene 28974 [Source:MGI Symbol;Acc:MGI:5579680],Gm28974
ENSMUSG00000100356,ENSMUSG00000100356.1,"predicted gene, 18797 [Source:MGI Symbol;Acc:MGI:5010982]",Gm18797
ENSMUSG00000101443,ENSMUSG00000101443.1,"ras homolog A translocated to the Y, pseudogene 1 [Source:MGI Symbol;Acc:MGI:1314639]",Rhoay-ps1
ENSMUSG00000000103,ENSMUSG00000000103.12,"zinc finger protein 2, Y-linked [Source:MGI Symbol;Acc:MGI:99213]",Zfy2
ENSMUSG00000099614,ENSMUSG00000099614.1,"ubiquitin-activating enzyme, Chr Y, pseudogene 2 [Source:MGI Symbol;Acc:MGI:102958]",Uba1y-ps2
ENSMUSG00000099973,ENSMUSG00000099973.1,"predicted gene, 18796 [Source:MGI Symbol;Acc:MGI:5010981]",Gm18796
ENSMUSG00000099888,ENSMUSG00000099888.1,predicted gene 29552 [Source:MGI Symbol;Acc:MGI:5580258],Gm29552
ENSMUSG00000100445,ENSMUSG00000100445.1,predicted gene 29550 [Source:MGI Symbol;Acc:MGI:5580256],Gm29550
ENSMUSG00000102072,ENSMUSG00000102072.1,predicted gene 29551 [Source:MGI Symbol;Acc:MGI:5580257],Gm29551
ENSMUSG00000101290,ENSMUSG00000101290.1,predicted gene 8480 [Source:MGI Symbol;Acc:MGI:3647867],Gm8480
ENSMUSG00000100103,ENSMUSG00000100103.1,predicted gene 29553 [Source:MGI Symbol;Acc:MGI:5580259],Gm29553
ENSMUSG00000093335,ENSMUSG00000093335.1,"predicted gene, 22119 [Source:MGI Symbol;Acc:MGI:5451896]",Gm22119
ENSMUSG00000102120,ENSMUSG00000102120.1,predicted gene 28630 [Source:MGI Symbol;Acc:MGI:5579336],Gm28630
ENSMUSG00000099445,ENSMUSG00000099445.1,predicted gene 28629 [Source:MGI Symbol;Acc:MGI:5579335],Gm28629
ENSMUSG00000094881,ENSMUSG00000094881.3,H2A histone family member L2C [Source:MGI Symbol;Acc:MGI:3779546],H2al2c
ENSMUSG00000099748,ENSMUSG00000099748.1,"ubiquitin-activating enzyme, Chr Y, pseudogene 1 [Source:MGI Symbol;Acc:MGI:98892]",Uba1y-ps1
ENSMUSG00000069036,ENSMUSG00000069036.3,sex determining region of Chr Y [Source:MGI Symbol;Acc:MGI:98660],Sry
ENSMUSG00000101064,ENSMUSG00000101064.1,"predicted gene, 18798 [Source:MGI Symbol;Acc:MGI:5010983]",Gm18798
ENSMUSG00000095573,ENSMUSG00000095573.3,H2A histone family member L2B [Source:MGI Symbol;Acc:MGI:3710623],H2al2b
ENSMUSG00000101114,ENSMUSG00000101114.1,predicted gene 28628 [Source:MGI Symbol;Acc:MGI:5579334],Gm28628
ENSMUSG00000102053,ENSMUSG00000102053.1,predicted gene 4064 [Source:MGI Symbol;Acc:MGI:3782239],Gm4064
ENSMUSG00000100700,ENSMUSG00000100700.1,predicted gene 6137 [Source:MGI Symbol;Acc:MGI:3643498],Gm6137
ENSMUSG00000101066,ENSMUSG00000101066.1,predicted gene 8498 [Source:MGI Symbol;Acc:MGI:3646440],Gm8498
ENSMUSG00000094658,ENSMUSG00000094658.7,"RNA binding motif protein, Y chromosome [Source:MGI Symbol;Acc:MGI:104732]",Rbmy
ENSMUSG00000095852,ENSMUSG00000095852.7,predicted gene 10256 [Source:MGI Symbol;Acc:MGI:3710530],Gm10256
ENSMUSG00000100145,ENSMUSG00000100145.1,predicted gene 8502 [Source:MGI Symbol;Acc:MGI:3646437],Gm8502
ENSMUSG00000099405,ENSMUSG00000099405.1,predicted gene 8506 [Source:MGI Symbol;Acc:MGI:3643897],Gm8506
ENSMUSG00000091987,ENSMUSG00000091987.8,predicted gene 10352 [Source:MGI Symbol;Acc:MGI:3708825],Gm10352
ENSMUSG00000099728,ENSMUSG00000099728.1,predicted gene 8510 [Source:MGI Symbol;Acc:MGI:3648242],Gm8510
ENSMUSG00000101667,ENSMUSG00000101667.1,predicted gene 29289 [Source:MGI Symbol;Acc:MGI:5579995],Gm29289
ENSMUSG00000093918,ENSMUSG00000093918.7,"predicted gene, 21677 [Source:MGI Symbol;Acc:MGI:5435032]",Gm21677
ENSMUSG00000099455,ENSMUSG00000099455.1,predicted gene 29288 [Source:MGI Symbol;Acc:MGI:5579994],Gm29288
ENSMUSG00000094511,ENSMUSG00000094511.7,"predicted gene, 21693 [Source:MGI Symbol;Acc:MGI:5435048]",Gm21693
ENSMUSG00000101141,ENSMUSG00000101141.1,"predicted gene, 21139 [Source:MGI Symbol;Acc:MGI:5434494]",Gm21139
ENSMUSG00000093987,ENSMUSG00000093987.7,"predicted gene, 21704 [Source:MGI Symbol;Acc:MGI:5435059]",Gm21704
ENSMUSG00000100285,ENSMUSG00000100285.1,"predicted gene, 21147 [Source:MGI Symbol;Acc:MGI:5434502]",Gm21147
ENSMUSG00000095948,ENSMUSG00000095948.7,"predicted gene, 21708 [Source:MGI Symbol;Acc:MGI:5435063]",Gm21708
ENSMUSG00000100960,ENSMUSG00000100960.1,"predicted gene, 21156 [Source:MGI Symbol;Acc:MGI:5434511]",Gm21156
ENSMUSG00000099970,ENSMUSG00000099970.1,"ras homolog A translocated to the Y, pseudogene 2 [Source:MGI Symbol;Acc:MGI:1314636]",Rhoay-ps2
ENSMUSG00000099660,ENSMUSG00000099660.1,predicted gene 2316 [Source:MGI Symbol;Acc:MGI:3780487],Gm2316
ENSMUSG00000096520,ENSMUSG00000096520.7,predicted gene 3376 [Source:MGI Symbol;Acc:MGI:3781554],Gm3376
ENSMUSG00000101016,ENSMUSG00000101016.1,predicted gene 2325 [Source:MGI Symbol;Acc:MGI:3780495],Gm2325
ENSMUSG00000100360,ENSMUSG00000100360.1,predicted gene 28649 [Source:MGI Symbol;Acc:MGI:5579355],Gm28649
ENSMUSG00000099838,ENSMUSG00000099838.1,predicted gene 8521 [Source:MGI Symbol;Acc:MGI:3645039],Gm8521
ENSMUSG00000100132,ENSMUSG00000100132.1,"predicted gene, 18177 [Source:MGI Symbol;Acc:MGI:5010362]",Gm18177
ENSMUSG00000101030,ENSMUSG00000101030.1,predicted gene 28429 [Source:MGI Symbol;Acc:MGI:5579135],Gm28429
ENSMUSG00000100641,ENSMUSG00000100641.1,predicted gene 28413 [Source:MGI Symbol;Acc:MGI:5579119],Gm28413
ENSMUSG00000101145,ENSMUSG00000101145.1,predicted gene 28412 [Source:MGI Symbol;Acc:MGI:5579118],Gm28412
ENSMUSG00000100656,ENSMUSG00000100656.1,predicted gene 8525 [Source:MGI Symbol;Acc:MGI:3648451],Gm8525
ENSMUSG00000100082,ENSMUSG00000100082.1,predicted gene 28414 [Source:MGI Symbol;Acc:MGI:5579120],Gm28414
ENSMUSG00000101712,ENSMUSG00000101712.1,predicted gene 28648 [Source:MGI Symbol;Acc:MGI:5579354],Gm28648
ENSMUSG00000101558,ENSMUSG00000101558.1,predicted gene 28647 [Source:MGI Symbol;Acc:MGI:5579353],Gm28647
ENSMUSG00000100753,ENSMUSG00000100753.1,predicted gene 29435 [Source:MGI Symbol;Acc:MGI:5580141],Gm29435
