phase,gene
G1_S,Acd
G1_S,Acyp1
G1_S,Adamts1
G1_S,Ankrd10
G1_S,Apex2
G1_S,Arglu1
G1_S,Atad2
G1_S,Bard1
G1_S,Brd7
G1_S,C1Orf63
G1_S,C7Orf41
G1_S,C14Orf142
G1_S,Capn7
G1_S,Casp2
G1_S,Casp8Ap2
G1_S,Ccne1
G1_S,Ccne2
G1_S,Cdc6
G1_S,Cdc25A
G1_S,Cdca7
G1_S,Cdca7L
G1_S,Cep57
G1_S,Chaf1A
G1_S,Chaf1B
G1_S,Clspn
G1_S,Crebzf
G1_S,Ctsd
G1_S,Dis3
G1_S,Dnajc3
G1_S,Donson
G1_S,Dscc1
G1_S,Dtl
G1_S,E2F1
G1_S,Eif2A
G1_S,Esd
G1_S,Fam105B
G1_S,Fam122A
G1_S,Flad1
G1_S,Gins2
G1_S,Gins3
G1_S,Gmnn
G1_S,Hells
G1_S,Hoxb4
G1_S,Hras
G1_S,Hsf2
G1_S,Insr
G1_S,Ints8
G1_S,Ivns1Abp
G1_S,Kiaa1147
G1_S,Kiaa1586
G1_S,Lnpep
G1_S,Luc7L3
G1_S,Mcm2
G1_S,Mcm4
G1_S,Mcm5
G1_S,Mcm6
G1_S,Mdm1
G1_S,Med31
G1_S,Mri1
G1_S,Msh2
G1_S,Nasp
G1_S,Neat1
G1_S,Nktr
G1_S,Npat
G1_S,Nup43
G1_S,Orc1
G1_S,Osbpl6
G1_S,Pank2
G1_S,Pcdh7
G1_S,Pcna
G1_S,Plcxd1
G1_S,Pms1
G1_S,Pnn
G1_S,Pold3
G1_S,Rab23
G1_S,Recql4
G1_S,Rmi2
G1_S,Rnf113A
G1_S,Rnpc3
G1_S,Sec62
G1_S,Skp2
G1_S,Slbp
G1_S,Slc25A36
G1_S,Snhg10
G1_S,Srsf7
G1_S,Ssr3
G1_S,Taf15
G1_S,Tipin
G1_S,Topbp1
G1_S,Tra2A
G1_S,Ttc14
G1_S,Ubr7
G1_S,Uhrf1
G1_S,Ung
G1_S,Usp53
G1_S,Vps72
G1_S,Wdr76
G1_S,Zmynd19
G1_S,Znf367
G1_S,Zranb2
S,Abcc5
S,Abhd10
S,Ankrd18A
S,Asf1B
S,Atad2
S,Bbs2
S,Bivm
S,Blm
S,Bmi1
S,Brca1
S,Brip1
S,C5Orf42
S,C11Orf82
S,Cald1
S,Calm2
S,Casp2
S,Ccdc14
S,Ccdc84
S,Ccdc150
S,Cdc7
S,Cdc45
S,Cdca5
S,Cdkn2Aip
S,Cenpm
S,Cenpq
S,Cers6
S,Chml
S,Coq9
S,Cpne8
S,Crebzf
S,Crls1
S,Dcaf16
S,Depdc7
S,Dhfr
S,Dna2
S,Dnajb4
S,Donson
S,Dscc1
S,Dync1Li2
S,E2F8
S,Eif4Ebp2
S,Enosf1
S,Esco2
S,Exo1
S,Ezh2
S,Fam178A
S,Fanca
S,Fanci
S,Fen1
S,Gclm
S,Golga8A
S,Golga8B
S,H1F0
S,Hells
S,Hist1H2Ac
S,Hist1H4C
S,Ints7
S,Kat2A
S,Kat2B
S,Kdelc1
S,Kiaa1598
S,Lmo4
S,Lyrm7
S,Man1A2
S,Map3K2
S,Mastl
S,Mbd4
S,Mcm8
S,Mlf1Ip
S,Mycbp2
S,Nab1
S,Neat1
S,Nfe2L2
S,Nrd1
S,Nsun3
S,Nt5Dc1
S,Nup160
S,Ogt
S,Orc3
S,Osgin2
S,Phip
S,Phtf1
S,Phtf2
S,Pkmyt1
S,Pola1
S,Prim1
S,Ptar1
S,Rad18
S,Rad51
S,Rad51Ap1
S,Rbbp8
S,Reep1
S,Rfc2
S,Rhobtb3
S,Rmi1
S,Rpa2
S,Rrm1
S,Rrm2
S,Rsrc2
S,Sap30Bp
S,Slc38A2
S,Sp1
S,Srsf5
S,Svip
S,Top2A
S,Ttc31
S,Ttll7
S,Tyms
S,Ube2T
S,Ubl3
